John,19900927,(+57) 320-432-05-09,"711 Holly Oak Dr, Palo Alto, CA 94303, USA",371449635398431,john@gmail.com
John 2,19900927,(+57) 320-432-05-09,"711 Holly Oak Dr, Palo Alto, CA 94303, USA",,john2@gmail.com
John 2,19900927,(+57) 320-432-05-09,"711 Holly Oak Dr, Palo Alto, CA 94303, USA",371449635398431,john2@gmail.com
John 2,19900927,(+57) 320-432-05-09,"711 Holly Oak Dr, Palo Alto, CA 94303, USA",371449635398431,john2@gmail.com
,19900927,(+57) 320-432-05-09,"711 Holly Oak Dr, Palo Alto, CA 94303, USA",371449635398431,john3@gmail.com
John 3,,(+57) 320-432-05-09,"711 Holly Oak Dr, Palo Alto, CA 94303, USA",371449635398431,john3@gmail.com
John 3,19900927,,"711 Holly Oak Dr, Palo Alto, CA 94303, USA",371449635398431,john3@gmail.com
John 3,19900927,(+57) 320-432-05-09,,371449635398431,john3@gmail.com
John 3,19900927,(+57) 320-432-05-09,"711 Holly Oak Dr, Palo Alto, CA 94303, USA",,john3@gmail.com
John 3,19900927,(+57) 320-432-05-09,"711 Holly Oak Dr, Palo Alto, CA 94303, USA",371449635398431,
John 3,19900927,(+57) 320-432-05-09,"711 Holly Oak Dr, Palo Alto, CA 94303, USA",371449635398431,john3@gmail.com
